game,season,home,away
0021500373,2015,BKN,MIA
0021500374,2015,DET,BOS
0021500375,2015,NYK,MIN
0021500376,2015,ATL,PHI
0021500377,2015,CHI,MEM
0021500378,2015,OKC,POR
0021500379,2015,SAS,WAS
0021500380,2015,UTA,NOP
0021500381,2015,GSW,PHX
0021500382,2015,LAC,MIL
0021500383,2015,CHA,TOR
0021500384,2015,CLE,OKC
0021500385,2015,LAL,HOU
0021500386,2015,IND,BKN
0021500387,2015,ORL,POR
0021500388,2015,PHI,NYK
0021500389,2015,BOS,ATL
0021500390,2015,MIA,TOR
0021500391,2015,CHI,DET
0021500392,2015,MIN,SAC
0021500393,2015,SAS,LAC
0021500394,2015,DAL,MEM
0021500395,2015,UTA,DEN
0021500396,2015,PHX,NOP
0021500397,2015,GSW,MIL
0021500398,2015,OKC,LAL
0021500399,2015,WAS,CHA
0021500400,2015,NYK,CHI
0021500401,2015,HOU,LAC
0021500402,2015,MEM,IND
0021500403,2015,BKN,MIN
0021500404,2015,MIA,POR
0021500405,2015,CLE,PHI
0021500406,2015,PHX,MIL
0021500407,2015,ORL,ATL
0021500408,2015,TOR,SAC
0021500409,2015,DEN,NOP
0021500410,2015,WAS,SAC
0021500411,2015,BOS,MIN
0021500412,2015,NYK,ORL
0021500413,2015,ATL,POR
0021500414,2015,CHI,BKN
0021500415,2015,HOU,CHA
0021500416,2015,SAS,IND
0021500417,2015,UTA,PHX
0021500418,2015,LAC,OKC
0021500419,2015,PHI,MEM
0021500420,2015,MIA,DET
0021500421,2015,TOR,DAL
0021500422,2015,DEN,LAL
0021500423,2015,CHA,BOS
0021500424,2015,CLE,NYK
0021500425,2015,IND,SAC
0021500426,2015,ORL,HOU
0021500427,2015,WAS,MEM
0021500428,2015,BKN,DAL
0021500429,2015,ATL,DET
0021500430,2015,MIL,PHI
0021500431,2015,MIN,SAS
0021500432,2015,NOP,POR
0021500433,2015,PHX,DEN
0021500434,2015,GSW,UTA
0021500435,2015,LAL,OKC
0021500436,2015,MIA,NOP
0021500437,2015,OKC,CHI
0021500438,2015,GSW,CLE
0021500439,2015,HOU,SAS
0021500440,2015,LAL,LAC
0021500447,2015,BKN,WAS
0021500441,2015,MIL,TOR
0021500443,2015,CHA,MEM
0021500444,2015,ORL,MIA
0021500445,2015,NOP,HOU
0021500442,2015,ATL,NYK
0021500446,2015,DET,BOS
0021500448,2015,MIN,IND
0021500449,2015,DAL,CHI
